,Decoy,Item,Option_1,Option_2,Option_3,Choice,CatchTrials,Deliberation_RT,Choice_RT,Too_Slow,Survey_ID,CouplingCondition,PhantomCondition
0,F,Kitchen Scale,A,C,B,C,,10000,620,0,40781,High coupling,Highly_desirable
1,C,Baby crib,C_A,B,A,A,,10000,389.0,0,40781,High coupling,Highly_desirable
2,S,Baby high chair,A,B,S_B,B,,10000,761,0,40781,High coupling,Highly_desirable
3,A,Leaf Blower,A,B,A_B,A,,10000,308,0,40781,High coupling,Highly_desirable
4,P,Wifi extender,A,B,P_B,A,,10000,586.0,0,40781,High coupling,Highly_desirable
5,P,Electric mop,A,P_B,B,B,,10000,451,0,40781,High coupling,Highly_desirable
6,C,Smart lock,C_B,A,B,B,,10000,285.0,0,40781,High coupling,Highly_desirable
7,S,Air Fryer Oven,B,S_A,A,A,,10000,301,0,40781,High coupling,Highly_desirable
8,F,Stun gun,B,A,C,B,,10000,297,0,40781,High coupling,Highly_desirable
9,A,Smart bulb,A,B,A_A,A,,10000,371,0,40781,High coupling,Highly_desirable
10,C,Water heater,C_A,A,B,A,,10000,328,0,40781,High coupling,Highly_desirable
11,P,Countertop blender,P_B,B,A,B,,10000,324,0,40781,High coupling,Highly_desirable
12,A,Slow cooker,A,A_A,B,B,,10000,327,0,40781,High coupling,Highly_desirable
13,S,Security camera,A,B,S_B,B,,10000,300.0,0,40781,High coupling,Highly_desirable
14,F,Hearing aid,A,B,C,C,,10000,558,0,40781,High coupling,Highly_desirable
15,F,Alarm clock,A,B,C,C,,10000,325,0,40781,High coupling,Highly_desirable
16,C,Car vacuum,B,A,C_A,B,,10000,1386,0,40781,High coupling,Highly_desirable
17,P,Organic fertilizer,A,P_A,B,A,,10000,822,0,40781,High coupling,Highly_desirable
18,A,Cloth diapers,A_B,A,B,A_B,,10000,670,0,40781,High coupling,Highly_desirable
19,S,Air mattress,S_B,B,A,S_B,,10000,669,0,40781,High coupling,Highly_desirable
20,F,Megaphone,A,B,C,C,,10000,357.0,0,40781,High coupling,Highly_desirable
21,P,Dehumidifier,P_A,B,A,B,,10000,386,0,40781,High coupling,Highly_desirable
22,S,Vacuum,B,S_A,A,S_A,,10000,615,0,40781,High coupling,Highly_desirable
23,C,Lawn mower,B,A,C_B,B,,10000,828.0,0,40781,High coupling,Highly_desirable
24,A,Walker with seat,B,A,A_B,A,,10000,568,0,40781,High coupling,Highly_desirable
25,A,Rash cream,B,A,A_A,B,,10000,518,0,40781,High coupling,Highly_desirable
26,P,Paint sprayer,B,P_B,A,A,,10000,571,0,40781,High coupling,Highly_desirable
27,C,Pesticide,A,B,C_B,B,,10000,370,0,40781,High coupling,Highly_desirable
28,S,Headlight bulbs,S_B,B,A,B,,10000,318,0,40781,High coupling,Highly_desirable
29,F,Thermometer gun,A,B,C,C,,10000,506,0,40781,High coupling,Highly_desirable
30,P,Solar panel system,B,A,P_A,B,,10000,296,0,40781,High coupling,Highly_desirable
31,S,Pressure washer,B,S_A,A,A,,10000,445,0,40781,High coupling,Highly_desirable
32,A,Tire inflator,A_A,A,B,A,,10000,415,0,40781,High coupling,Highly_desirable
33,C,Mobility scooter,A,B,C_A,B,,10000,439.0,0,40781,High coupling,Highly_desirable
34,F,Outdoor TV antenna,B,C,A,C,,10000,386,0,40781,High coupling,Highly_desirable
35,C,White noise machine,A,C_A,B,A,,10000,394,0,40781,High coupling,Highly_desirable
36,F,Wagon cart,C,A,B,C,,10000,312,0,40781,High coupling,Highly_desirable
37,A,Clothes Steamer,B,A,A_A,A,,10000,469,0,40781,High coupling,Highly_desirable
38,S,Odor neutralizer,S_B,A,B,B,,10000,683,0,40781,High coupling,Highly_desirable
39,P,Outdoor solar lights,A,B,P_B,B,,10000,1716,0,40781,High coupling,Highly_desirable
40,A,UV lamp,A_B,B,A,B,,10000,334.0,0,40781,High coupling,Highly_desirable
41,F,Baby rocker,C,B,A,C,,10000,402.0,0,40781,High coupling,Highly_desirable
42,C,Puree machine,C_B,B,A,B,,10000,333,0,40781,High coupling,Highly_desirable
43,S,Night light,B,A,S_B,S_B,,10000,486.0,0,40781,High coupling,Highly_desirable
44,P,Air purifier,P_A,B,A,B,,10000,961,0,40781,High coupling,Highly_desirable
45,S,Metal detector,A,B,S_A,B,,10000,509,0,40781,High coupling,Highly_desirable
46,A,Car seat,A_A,A,B,A,,10000,313,0,40781,High coupling,Highly_desirable
47,C,Insect repellent,B,A,C_B,B,,10000,1245,0,40781,High coupling,Highly_desirable
48,F,Inflatable baby pool,C,A,B,C,,10000,982,0,40781,High coupling,Highly_desirable
49,P,Baby stroller,P_B,B,A,B,,10000,408,0,40781,High coupling,Highly_desirable
50,P,Solar panel system,B,A,P_B,B,,10000,429,0,40781,High coupling,Highly_desirable
51,S,Odor neutralizer,S_A,B,A,A,,10000,368,0,40781,High coupling,Highly_desirable
52,F,Pepper spray,A,C,B,C,,10000,397.0,0,40781,High coupling,Highly_desirable
53,C,Pesticide,C_A,B,A,A,,10000,494,0,40781,High coupling,Highly_desirable
54,A,Tire inflator,A_B,B,A,B,,10000,308.0,0,40781,High coupling,Highly_desirable
55,A,Clothes Steamer,A_B,B,A,B,,10000,407.0,0,40781,High coupling,Highly_desirable
56,C,White noise machine,B,C_B,A,B,,10000,543,0,40781,High coupling,Highly_desirable
